SW Version : 2.20
HW Version : 2
Date,Time,Battery_Voltage,Current_Setting,TempSense1,TempSens2,HeatRatio,Heater_Status,Delta_Temperature(debug_only)
Heatratio = (TS1-TS1_baseline_mean)/(TS2-TS2_baseline_mean)
2023617,4:17:54,4.13,17,15.906250,15.968750,99,0,0.062500
2023617,4:17:55,4.13,17,15.914063,15.976563,99,0,0.062500
2023617,4:17:56,4.12,17,15.921875,15.984375,99,0,0.062500
2023617,4:17:57,4.13,17,15.929688,15.992188,99,0,0.062500
2023617,4:17:58,4.12,17,15.929688,15.992188,99,0,0.062500
2023617,4:17:59,4.13,17,15.937500,16.000000,99,0,0.062500
2023617,4:18:0,4.12,17,15.937500,16.000000,99,0,0.062500
2023617,4:18:1,4.13,17,15.937500,16.007812,99,0,0.070312
2023617,4:18:2,4.12,17,15.945313,16.007812,99,0,0.062500
2023617,4:18:3,4.12,17,15.945313,16.007812,99,0,0.062500
-----------------------------------------------------------------
2023617,4:18:5,4.06,17,15.945313,16.007812,99,1,0.062500
2023617,4:18:6,4.06,17,15.945313,16.015625,99,1,0.070312
2023617,4:18:7,4.06,17,15.945313,16.015625,99,1,0.070312
2023617,4:18:8,4.07,17,15.953125,16.023437,99,1,0.070312
-----------------------------------------------------------------
2023617,4:19:10,4.13,17,16.664062,16.695312,1.05,0,0.031250
2023617,4:19:12,4.13,17,16.687500,16.695312,1.08,0,0.007813
2023617,4:19:12,4.12,17,16.687500,16.695312,1.08,0,0.007813
2023617,4:19:13,4.12,17,16.687500,16.695312,1.08,0,0.007813
2023617,4:19:14,4.13,17,16.687500,16.687500,1.09,0,0.000000
2023617,4:19:15,4.12,17,16.687500,16.687500,1.09,0,0.000000
2023617,4:19:16,4.12,17,16.687500,16.687500,1.09,0,0.000000
2023617,4:19:17,4.12,17,16.687500,16.687500,1.09,0,0.000000
2023617,4:19:18,4.13,17,16.687500,16.687500,1.09,0,0.000000
2023617,4:19:19,4.12,17,16.687500,16.687500,1.09,0,0.000000
-----------------------------------------------------------------
                      heatratio average : 1.083

Lora payload : A00648D18281106C07F707FF8E

2023617,4:39:23,4.12,17,15.945313,15.968750,99,0,0.023437
2023617,4:39:24,4.12,17,15.953125,15.976563,99,0,0.023437
2023617,4:39:25,4.12,17,15.960938,15.984375,99,0,0.023437
2023617,4:39:26,4.12,17,15.960938,15.992188,99,0,0.031250
2023617,4:39:27,4.13,17,15.968750,15.992188,99,0,0.023437
2023617,4:39:28,4.12,17,15.968750,15.992188,99,0,0.023437
2023617,4:39:29,4.13,17,15.976563,16.000000,99,0,0.023437
2023617,4:39:30,4.12,17,15.976563,16.000000,99,0,0.023437
2023617,4:39:31,4.13,17,15.984375,16.000000,99,0,0.015625
2023617,4:39:32,4.13,17,15.984375,16.000000,99,0,0.015625
-----------------------------------------------------------------
2023617,4:39:34,4.07,17,15.984375,16.007812,99,1,0.023437
2023617,4:39:35,4.06,17,15.984375,16.007812,99,1,0.023437
2023617,4:39:36,4.06,17,15.992188,16.007812,99,1,0.015625
2023617,4:39:37,4.07,17,15.992188,16.015625,99,1,0.023437
-----------------------------------------------------------------
2023617,4:40:39,4.13,17,16.609375,16.687500,0.92,0,0.078125
2023617,4:40:40,4.12,17,16.617187,16.687500,0.93,0,0.070312
2023617,4:40:40,4.13,17,16.617187,16.679687,0.94,0,0.062500
2023617,4:40:41,4.12,17,16.625000,16.687500,0.94,0,0.062500
2023617,4:40:42,4.12,17,16.625000,16.687500,0.94,0,0.062500
2023617,4:40:43,4.13,17,16.632812,16.687500,0.95,0,0.054687
2023617,4:40:44,4.12,17,16.640625,16.687500,0.97,0,0.046875
2023617,4:40:45,4.13,17,16.640625,16.679687,0.98,0,0.039063
2023617,4:40:46,4.13,17,16.648437,16.679687,0.99,0,0.031250
2023617,4:40:47,4.12,17,16.648437,16.671875,1.00,0,0.023437
-----------------------------------------------------------------
                      heatratio average : 0.956

Lora payload : A00648D1D301105F07FB07FE8E

2023617,5:0:52,4.13,17,15.914063,15.945313,99,0,0.031250
2023617,5:0:53,4.12,17,15.921875,15.953125,99,0,0.031250
2023617,5:0:54,4.12,17,15.929688,15.960938,99,0,0.031250
2023617,5:0:55,4.12,17,15.937500,15.968750,99,0,0.031250
2023617,5:0:56,4.13,17,15.937500,15.968750,99,0,0.031250
2023617,5:0:57,4.12,17,15.945313,15.976563,99,0,0.031250
